                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 0.8882,                0.52992,                 1.0612,                0.82278,                0.73359,                0.80446,                0.55399,                 1.2384,                0.69997,                 1.2245,               0.006535,               0.006535,               0.006535
                     37,                0.87986,                0.52974,                 1.0598,                 0.8289,                0.73176,                0.80508,                0.55667,                 1.2439,                0.70062,                 1.2228,               0.006436,               0.006436,               0.006436
                     38,                 0.8741,                0.52483,                 1.0583,                0.82151,                 0.7449,                0.80918,                0.55702,                 1.2423,                0.69699,                  1.222,               0.006337,               0.006337,               0.006337
                     39,                0.87066,                0.52547,                 1.0543,                0.81206,                 0.7451,                0.80959,                0.56235,                 1.2337,                 0.6887,                 1.2162,               0.006238,               0.006238,               0.006238
                     40,                0.86958,                 0.5211,                 1.0584,                 0.8287,                0.74325,                0.81177,                0.56141,                 1.2276,                0.69128,                  1.214,               0.006139,               0.006139,               0.006139
                     41,                 0.8673,                0.52052,                 1.0494,                0.82933,                0.74614,                0.81443,                0.56386,                 1.2221,                0.68335,                 1.2117,                0.00604,                0.00604,                0.00604
                     42,                0.84577,                0.50328,                 1.0433,                0.82403,                0.74586,                0.81294,                0.56048,                 1.2307,                0.68586,                 1.2148,               0.005941,               0.005941,               0.005941
                     43,                  0.847,                 0.5078,                 1.0462,                 0.8393,                0.74025,                0.81895,                0.56763,                 1.2167,                  0.678,                 1.2072,               0.005842,               0.005842,               0.005842
                     44,                0.84112,                0.50327,                 1.0421,                0.81676,                0.75265,                0.81697,                0.56817,                  1.222,                0.68274,                 1.2095,               0.005743,               0.005743,               0.005743
                     45,                0.84848,                 0.5054,                 1.0443,                0.83156,                0.74326,                0.81709,                0.56819,                 1.2154,                 0.6776,                 1.2059,               0.005644,               0.005644,               0.005644
                     46,                0.84444,                 0.5038,                 1.0379,                0.83051,                0.75105,                0.82198,                0.57235,                 1.2136,                0.67453,                 1.2044,               0.005545,               0.005545,               0.005545
                     47,                0.83934,                0.50129,                 1.0382,                0.82375,                0.75876,                0.82193,                0.57285,                 1.2084,                0.67101,                 1.2017,               0.005446,               0.005446,               0.005446
                     48,                0.82887,                 0.4953,                 1.0354,                0.82428,                0.75972,                 0.8256,                0.57371,                 1.2053,                0.66634,                 1.2018,               0.005347,               0.005347,               0.005347
                     49,                0.82326,                0.48917,                 1.0335,                0.82792,                0.75309,                0.82078,                0.57431,                 1.1962,                0.66494,                 1.1959,               0.005248,               0.005248,               0.005248
                     50,                0.82117,                0.48849,                 1.0291,                0.83164,                0.74773,                0.82318,                0.57483,                 1.2036,                0.66405,                 1.1997,               0.005149,               0.005149,               0.005149
