                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2755,                0.98086,                 1.1749,                0.64961,                0.67686,                0.71211,                0.46298,                 1.4198,                0.95427,                 1.2491,             0.00023722,             0.00023722,             0.00023722
                      2,                 1.1274,                0.66716,                 1.1091,                0.74582,                0.67947,                0.73632,                0.47098,                 1.3864,                0.89978,                 1.2241,             0.00046582,             0.00046582,             0.00046582
                      3,                  1.088,                0.64153,                 1.0932,                0.75176,                0.67616,                0.73318,                0.47305,                 1.3944,                 0.8731,                  1.242,             0.00068498,             0.00068498,             0.00068498
                      4,                  1.057,                0.60928,                 1.0816,                0.77671,                0.73754,                0.79315,                0.54237,                 1.2799,                 0.7744,                 1.1772,             0.00067159,             0.00067159,             0.00067159
                      5,                0.98978,                0.56376,                 1.0515,                0.77827,                0.73717,                0.81125,                0.54862,                 1.2828,                0.72458,                  1.166,             0.00065745,             0.00065745,             0.00065745
                      6,                0.93425,                0.52634,                 1.0262,                0.80718,                0.75075,                0.81495,                 0.5602,                 1.2433,                0.70975,                 1.1545,             0.00064331,             0.00064331,             0.00064331
                      7,                0.90662,                0.50738,                 1.0206,                0.80582,                0.76631,                0.83094,                0.57722,                 1.2045,                0.66778,                 1.1312,             0.00062918,             0.00062918,             0.00062918
                      8,                0.87542,                 0.4922,                 1.0063,                0.81762,                0.79474,                0.85284,                0.59469,                 1.1821,                0.66454,                 1.1133,             0.00061504,             0.00061504,             0.00061504
                      9,                0.84219,                0.47082,                0.98978,                0.80044,                0.77229,                0.83945,                0.59079,                 1.1752,                0.65284,                 1.1161,              0.0006009,              0.0006009,              0.0006009
                     10,                0.81748,                0.45092,                0.98158,                0.81046,                0.80188,                0.85589,                0.61058,                 1.1524,                0.62987,                 1.0979,             0.00058677,             0.00058677,             0.00058677
                     11,                 0.8199,                0.45256,                0.98342,                0.83486,                0.80845,                0.86741,                0.61099,                 1.1493,                0.62093,                  1.093,             0.00057263,             0.00057263,             0.00057263
                     12,                0.80097,                0.43872,                 0.9727,                0.84972,                0.79034,                0.86774,                0.61883,                 1.1265,                0.60403,                 1.0898,             0.00055849,             0.00055849,             0.00055849
                     13,                0.76717,                0.42152,                0.96195,                 0.8059,                0.82889,                0.86761,                0.62133,                 1.1296,                0.60011,                 1.0858,             0.00054435,             0.00054435,             0.00054435
                     14,                0.76508,                  0.422,                 0.9658,                0.83365,                0.82074,                0.87253,                0.62323,                 1.1194,                0.59042,                 1.0838,             0.00053022,             0.00053022,             0.00053022
                     15,                0.72769,                0.40137,                0.94808,                 0.8348,                0.81494,                0.87653,                0.62895,                 1.1237,                0.58645,                 1.0882,             0.00051608,             0.00051608,             0.00051608
                     16,                0.73241,                0.40444,                0.95161,                0.83758,                0.81943,                 0.8742,                0.63648,                 1.0973,                0.57392,                 1.0785,             0.00050194,             0.00050194,             0.00050194
                     17,                0.70842,                0.39061,                0.94249,                0.83372,                0.81859,                0.87628,                0.63335,                 1.1118,                0.57654,                 1.0787,              0.0004878,              0.0004878,              0.0004878
                     18,                0.69303,                0.38438,                0.93254,                0.83623,                0.83589,                0.88636,                0.64385,                 1.1124,                0.57545,                 1.0753,             0.00047367,             0.00047367,             0.00047367
                     19,                0.68806,                0.37901,                  0.932,                0.84485,                0.81462,                0.87826,                0.63786,                 1.1044,                0.56758,                 1.0702,             0.00045953,             0.00045953,             0.00045953
                     20,                0.67972,                0.37296,                0.93184,                0.86157,                0.82111,                 0.8847,                0.64647,                 1.0946,                0.56171,                  1.072,             0.00044539,             0.00044539,             0.00044539
                     21,                0.67116,                0.37001,                0.93033,                0.86024,                0.82774,                0.89115,                0.65378,                 1.0875,                0.54323,                 1.0717,             0.00043126,             0.00043126,             0.00043126
                     22,                0.66494,                0.36486,                0.92572,                0.85924,                0.81822,                0.89217,                0.65236,                  1.088,                0.54441,                 1.0615,             0.00041712,             0.00041712,             0.00041712
                     23,                0.65219,                0.35569,                 0.9213,                0.84219,                0.84894,                 0.8958,                0.66089,                  1.075,                0.53753,                 1.0689,             0.00040298,             0.00040298,             0.00040298
                     24,                0.64284,                0.34971,                0.91907,                0.84989,                 0.8435,                0.89192,                0.65476,                 1.0768,                0.54063,                 1.0608,             0.00038884,             0.00038884,             0.00038884
                     25,                0.62631,                0.34568,                0.91285,                0.83843,                 0.8501,                0.89893,                0.66057,                 1.0689,                0.53172,                 1.0522,             0.00037471,             0.00037471,             0.00037471
                     26,                0.60865,                0.33957,                0.90471,                0.85551,                0.84093,                0.89893,                 0.6614,                 1.0736,                0.52947,                 1.0629,             0.00036057,             0.00036057,             0.00036057
                     27,                0.61746,                0.34171,                0.90932,                0.85777,                0.84115,                0.90015,                0.66273,                 1.0598,                0.53005,                  1.057,             0.00034643,             0.00034643,             0.00034643
                     28,                0.60664,                0.33183,                0.90375,                0.86938,                0.83893,                0.90095,                0.66855,                 1.0603,                0.52213,                 1.0571,              0.0003323,              0.0003323,              0.0003323
                     29,                0.58282,                0.32124,                0.89906,                0.85833,                0.84031,                0.90047,                0.67065,                 1.0517,                0.51696,                 1.0576,             0.00031816,             0.00031816,             0.00031816
                     30,                0.57998,                0.32119,                0.89893,                0.85041,                  0.855,                0.90342,                0.66829,                 1.0534,                0.51801,                 1.0552,             0.00030402,             0.00030402,             0.00030402
                     31,                0.57913,                0.31973,                0.89621,                0.85189,                0.85192,                0.90188,                0.66911,                 1.0574,                0.51464,                 1.0499,             0.00028988,             0.00028988,             0.00028988
                     32,                0.57421,                0.31645,                0.89236,                0.86648,                 0.8511,                0.90776,                0.67666,                 1.0463,                0.50791,                 1.0484,             0.00027575,             0.00027575,             0.00027575
                     33,                0.57018,                0.31567,                0.89413,                0.85713,                0.85671,                0.90314,                0.66976,                 1.0469,                0.51482,                 1.0469,             0.00026161,             0.00026161,             0.00026161
                     34,                0.55618,                0.30568,                 0.8871,                0.86209,                0.86436,                0.90868,                0.67802,                 1.0406,                0.50771,                 1.0515,             0.00024747,             0.00024747,             0.00024747
                     35,                0.54541,                0.29681,                 0.8849,                0.86667,                0.85727,                0.90975,                 0.6795,                 1.0364,                0.50532,                 1.0427,             0.00023334,             0.00023334,             0.00023334
                     36,                0.53812,                0.29811,                0.88163,                0.87428,                0.84671,                0.90764,                0.67772,                 1.0342,                0.50159,                  1.045,              0.0002192,              0.0002192,              0.0002192
                     37,                 0.5337,                0.29405,                0.88219,                0.86463,                0.86725,                0.90878,                0.67867,                 1.0394,                0.49814,                 1.0477,             0.00020506,             0.00020506,             0.00020506
                     38,                0.52159,                0.28702,                0.87771,                0.87116,                0.86362,                0.91014,                0.67987,                 1.0312,                0.49888,                 1.0417,             0.00019092,             0.00019092,             0.00019092
                     39,                0.51676,                0.28481,                0.87538,                0.87042,                0.86333,                0.90811,                0.68091,                 1.0304,                0.49601,                 1.0446,             0.00017679,             0.00017679,             0.00017679
                     40,                0.51442,                0.28165,                0.87907,                0.86979,                0.86231,                0.91002,                 0.6819,                 1.0304,                0.49543,                  1.048,             0.00016265,             0.00016265,             0.00016265
                     41,                0.99369,                0.46347,                 1.0297,                0.86218,                0.86334,                0.90755,                0.67983,                 1.0327,                0.49636,                 1.0507,             0.00014851,             0.00014851,             0.00014851
                     42,                0.96779,                0.45266,                 1.0162,                0.86776,                0.86326,                0.90694,                 0.6801,                 1.0313,                0.49159,                 1.0494,             0.00013437,             0.00013437,             0.00013437
                     43,                0.95427,                0.44533,                 1.0147,                0.87178,                0.86441,                0.90979,                0.68324,                 1.0331,                0.49067,                 1.0543,             0.00012024,             0.00012024,             0.00012024
                     44,                0.94066,                 0.4381,                 1.0046,                0.86901,                0.87032,                0.90789,                0.68142,                 1.0311,                0.49043,                 1.0527,              0.0001061,              0.0001061,              0.0001061
                     45,                0.93105,                0.43531,                 1.0001,                 0.8682,                0.87054,                 0.9095,                0.68307,                 1.0255,                0.48744,                   1.05,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     46,                0.91591,                0.42761,                0.98971,                0.86862,                 0.8708,                0.90734,                 0.6829,                 1.0271,                0.48883,                 1.0518,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     47,                0.90653,                0.42119,                0.98337,                 0.8709,                0.87025,                0.90886,                0.68436,                  1.031,                0.48927,                 1.0572,             6.3689e-05,             6.3689e-05,             6.3689e-05
