                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.60426,                0.35122,                0.87944,                0.87263,                0.82674,                0.89347,                0.65689,                 1.0698,                0.55026,                 1.0052,             0.00023334,             0.00023334,             0.00023334
                     36,                0.59737,                0.34938,                0.87554,                0.88065,                0.82702,                0.89198,                0.65542,                 1.0702,                0.54927,                 1.0032,              0.0002192,              0.0002192,              0.0002192
                     37,                0.59474,                0.34721,                0.87727,                0.86938,                0.82866,                0.89297,                0.65836,                 1.0656,                0.54176,                 1.0034,             0.00020506,             0.00020506,             0.00020506
                     38,                 0.5827,                0.34037,                0.87309,                0.86025,                0.84467,                0.89609,                0.66122,                 1.0586,                0.54049,                 1.0005,             0.00019092,             0.00019092,             0.00019092
                     39,                0.57726,                0.34016,                0.87296,                0.86294,                0.84315,                0.89737,                0.66347,                 1.0606,                 0.5381,                 1.0003,             0.00017679,             0.00017679,             0.00017679
                     40,                0.57895,                0.33782,                0.87373,                0.88842,                0.82013,                0.89558,                0.66461,                 1.0553,                0.53612,                0.99987,             0.00016265,             0.00016265,             0.00016265
                     41,                 1.0621,                0.53356,                0.99544,                0.87836,                0.83265,                0.89614,                 0.6618,                  1.062,                0.53288,                 1.0029,             0.00014851,             0.00014851,             0.00014851
                     42,                 1.0389,                0.52186,                0.98686,                0.88525,                0.82514,                0.89899,                0.66569,                 1.0571,                0.52898,                 1.0033,             0.00013437,             0.00013437,             0.00013437
                     43,                 1.0303,                0.51649,                0.98616,                0.87988,                0.83863,                0.90288,                0.66735,                 1.0558,                0.52777,                  1.001,             0.00012024,             0.00012024,             0.00012024
                     44,                 1.0189,                0.50945,                0.98117,                0.86907,                0.83942,                0.89938,                0.66689,                 1.0553,                0.52451,                 1.0013,              0.0001061,              0.0001061,              0.0001061
                     45,                 1.0159,                0.50893,                0.97974,                0.87788,                0.83624,                0.90002,                0.66603,                 1.0554,                0.52445,                 1.0012,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     46,                 1.0024,                 0.5021,                0.97175,                0.87342,                0.83895,                0.89801,                0.66465,                 1.0557,                0.52476,                 1.0017,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     47,                  0.994,                0.49607,                0.96878,                0.88448,                0.83463,                0.89981,                0.66837,                 1.0529,                0.52253,                 1.0009,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     48,                 0.9859,                0.49274,                0.96542,                 0.8775,                0.83914,                0.89938,                0.66881,                 1.0537,                0.52341,                 1.0017,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     49,                0.98278,                0.49197,                0.96411,                0.89007,                0.83308,                0.90054,                0.66993,                 1.0527,                0.52208,                 1.0012,             3.5414e-05,             3.5414e-05,             3.5414e-05
                     50,                0.96856,                0.48299,                0.96108,                0.88939,                 0.8355,                0.90112,                0.66914,                 1.0535,                 0.5211,                 1.0026,             2.1277e-05,             2.1277e-05,             2.1277e-05
